,action_name
0,empty
1,"
"
2,packageHeader
3,import
4,kotlin
5,simpleIdentifier##kotlin
6,.
7,test
8,simpleIdentifier##test
9,assertEquals
10,simpleIdentifier##assertEquals
11,identifier##simpleIdentifier##.##simpleIdentifier##.##simpleIdentifier
12,"semi##
##
"
13,importHeader##import##identifier##semi
14,importList##importHeader
15,annotation
16,classModifier##annotation
17,modifier##classModifier
18,modifiers##modifier
19,class
20,(
21,val
22,value
23,simpleIdentifier##value
24,:
25,String
26,simpleIdentifier##String
27,simpleUserType##simpleIdentifier
28,userType##simpleUserType
29,typeReference##userType
30,type##typeReference
31,classParameter##val##simpleIdentifier##:##type
32,)
33,classParameters##(##classParameter##)
34,primaryConstructor##classParameters
35,classDeclaration##modifiers##class##simpleIdentifier##primaryConstructor
36,declaration##classDeclaration
37,"semis##
##
"
38,topLevelObject##declaration##semis
39,Anno
40,simpleIdentifier##Anno
41, @
42,get
43,""""
44,O
45,lineStringContent##O
46,"lineStringLiteral##""##lineStringContent##"""
47,stringLiteral##lineStringLiteral
48,primaryExpression##stringLiteral
49,postfixUnaryExpression##primaryExpression
50,prefixUnaryExpression##postfixUnaryExpression
51,asExpression##prefixUnaryExpression
52,multiplicativeExpression##asExpression
53,additiveExpression##multiplicativeExpression
54,rangeExpression##additiveExpression
55,infixFunctionCall##rangeExpression
56,elvisExpression##infixFunctionCall
57,infixOperation##elvisExpression
58,genericCallLikeComparison##infixOperation
59,comparison##genericCallLikeComparison
60,equality##comparison
61,conjunction##equality
62,disjunction##conjunction
63,expression##disjunction
64,valueArgument##expression
65,valueArguments##(##valueArgument##)
66,constructorInvocation##userType##valueArguments
67,unescapedAnnotation##constructorInvocation
68,singleAnnotation##annotationUseSiteTarget##unescapedAnnotation
69,annotation##singleAnnotation
70,modifiers##annotation
71,o
72,simpleIdentifier##o
73,classParameter##modifiers##val##simpleIdentifier##:##type
74,","
75,K
76,lineStringContent##K
77,k
78,simpleIdentifier##k
79,"classParameters##(##classParameter##,##classParameter##)"
80,fun
81,box
82,simpleIdentifier##box
83,functionValueParameters##(##)
84,{
85,variableDeclaration##simpleIdentifier
86,=
87,primaryExpression##simpleIdentifier
88,::
89,memberAccessOperator##::
90,navigationSuffix##memberAccessOperator##class
91,postfixUnarySuffix##navigationSuffix
92,memberAccessOperator##.
93,java
94,simpleIdentifier##java
95,navigationSuffix##memberAccessOperator##simpleIdentifier
96,declaredMethods
97,simpleIdentifier##declaredMethods
98,postfixUnaryExpression##primaryExpression##postfixUnarySuffix##postfixUnarySuffix##postfixUnarySuffix
99,"propertyDeclaration##val##variableDeclaration##=##expression##
"
100,declaration##propertyDeclaration
101,statement##declaration
102,"semis##
"
103,return
104,single
105,simpleIdentifier##single
106,it
107,simpleIdentifier##it
108,name
109,simpleIdentifier##name
110,postfixUnaryExpression##primaryExpression##postfixUnarySuffix
111,==
112,equalityOperator##==
113,equality##comparison##equalityOperator##comparison
114,statement##expression
115,statements##statement
116,}
117,lambdaLiteral##{##statements##}
118,annotatedLambda##lambdaLiteral
119,callSuffix##annotatedLambda
120,postfixUnarySuffix##callSuffix
121,annotations
122,simpleIdentifier##annotations
123,valueArguments##(##)
124,callSuffix##valueArguments
125,postfixUnaryExpression##primaryExpression##postfixUnarySuffix##postfixUnarySuffix##postfixUnarySuffix##postfixUnarySuffix##postfixUnarySuffix
126,as
127,asOperator##as
128,asExpression##prefixUnaryExpression##asOperator##type
129,parenthesizedExpression##(##expression##)
130,primaryExpression##parenthesizedExpression
131,+
132,additiveOperator##+
133,lineStringContent##k
134,"additiveExpression##multiplicativeExpression##additiveOperator##
##multiplicativeExpression"
135,jumpExpression##return##expression
136,primaryExpression##jumpExpression
137,statements##statement##semis##statement##semis
138,"block##{##
##statements##}"
139,functionBody##block
140,functionDeclaration##fun##simpleIdentifier##functionValueParameters##:##type##functionBody
141,declaration##functionDeclaration
142,<EOF>
143,"kotlinFile##
##
##
##packageHeader##importList##topLevelObject##topLevelObject##topLevelObject##<EOF>"
144,importList
145,"
@"
146,Retention
147,simpleIdentifier##Retention
148,AnnotationRetention
149,simpleIdentifier##AnnotationRetention
150,RUNTIME
151,simpleIdentifier##RUNTIME
152,"singleAnnotation##
@##unescapedAnnotation"
153,"annotation##singleAnnotation##
"
154,modifiers##annotation##modifier
155,First
156,simpleIdentifier##First
157,classDeclaration##modifiers##class##simpleIdentifier
158,enum
159,classModifier##enum
160,E
161,simpleIdentifier##E
162,unescapedAnnotation##userType
163,singleAnnotation## @##unescapedAnnotation
164,foo
165,simpleIdentifier##foo
166,functionBody##=##expression
167,functionDeclaration##fun##simpleIdentifier##functionValueParameters##functionBody
168,classMemberDeclaration##declaration
169,classMemberDeclarations##classMemberDeclaration##semis
170,"classBody##{##
##classMemberDeclarations##}"
171,OK
172,lineStringContent##OK
173,"enumClassBody##{##
##enumEntries##}"
174,classDeclaration##modifiers##class##simpleIdentifier##enumClassBody
